id,label
4066,fkh+peb
0,Alh
1,Ama
2,Ance
3,Antp
4,Blimp
5,Bsg25A
6,Btk29A
7,CG10479
8,CG10924
9,CG11208
10,CG13333
11,CG14427
12,CG17724
13,CG17786
14,CG31607
15,CG31670
16,CG4702
17,CG8147
18,CG8965
19,Cyp310a1
20,D
21,Dfd
22,Doc2
23,Doc3
24,Esp
25,HLHm5
26,Ilp4
27,ImpE2
28,ImpL2
29,Kr
30,MESR3
31,Mdr49
32,Mes2
33,Nek2
34,NetA
35,Traf1
36,aay
37,apt
38,bcd
39,bmm
40,brk
41,bun
42,cad
43,cenG1A
44,chrb
45,cnc
46,comm2
47,croc
48,dan
49,danr
50,disco
51,dpn
52,edl
53,emc
54,eve
55,fj
56,fkh
57,ftz
58,gk
59,gt
60,h
61,hb
62,hkb
63,htl
64,jumu
65,ken
66,kni
67,knrl
68,lok
69,mfas
70,noc
71,nub
72,numb
73,oc
74,odd
75,path
76,peb
77,prd
78,pxb
79,rho
80,rib
81,sala
82,slp1
83,slp2
84,sna
85,sob
86,srp
87,term
88,tkv
89,tll
90,toc
91,trn
92,tsh
93,twi
94,zen
95,KrP
96,bcdP
97,gtP
98,hbP
